game_pk,game_date,player_id,player_name,opposing_team,pa,ab,h,singles,doubles,triples,hr,bb,hbp,so,sb,cs,rbi,tb,season
822708,2026-07-12,502671,"Goldschmidt, Paul",WSH,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2026
822708,2026-07-12,641355,"Bellinger, Cody",WSH,4,3,2,1,1,0,0,1,0,0,0,0,0,3,2026
822708,2026-07-12,641857,"McMahon, Ryan",WSH,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2026
822708,2026-07-12,642708,"Rosario, Amed",WSH,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2026
822708,2026-07-12,663757,"Grisham, Trent",WSH,4,3,0,0,0,0,0,1,0,0,0,0,0,0,2026
822708,2026-07-12,665862,"Chisholm Jr., Jazz",WSH,4,4,2,1,1,0,0,0,0,0,0,0,1,3,2026
822708,2026-07-12,669224,"Wells, Austin",WSH,2,2,1,1,0,0,0,0,0,0,0,0,1,1,2026
822708,2026-07-12,676609,"Caballero, José",WSH,4,3,1,1,0,0,0,0,0,1,0,0,1,1,2026
822708,2026-07-12,680474,"Schuemann, Max",WSH,4,4,1,1,0,0,0,0,0,1,0,0,0,1,2026
822708,2026-07-12,683011,"Volpe, Anthony",WSH,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2026
822708,2026-07-12,691176,"Domínguez, Jasson",WSH,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2026
822708,2026-07-12,700250,"Rice, Ben",WSH,4,4,1,0,0,1,0,0,0,2,0,0,2,3,2026
822709,2026-07-10,502671,"Goldschmidt, Paul",WSH,5,5,2,2,0,0,0,0,0,1,0,0,0,2,2026
822709,2026-07-10,641355,"Bellinger, Cody",WSH,4,4,2,2,0,0,0,0,0,0,0,0,0,2,2026
822709,2026-07-10,641857,"McMahon, Ryan",WSH,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2026
822709,2026-07-10,642708,"Rosario, Amed",WSH,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2026
822709,2026-07-10,663757,"Grisham, Trent",WSH,5,4,1,1,0,0,0,1,0,1,0,0,0,1,2026
822709,2026-07-10,665862,"Chisholm Jr., Jazz",WSH,4,4,1,0,0,0,1,0,0,1,0,0,2,4,2026
822709,2026-07-10,669224,"Wells, Austin",WSH,4,4,1,0,0,0,1,0,0,2,0,0,1,4,2026
822709,2026-07-10,676609,"Caballero, José",WSH,4,4,2,2,0,0,0,0,0,1,0,0,0,2,2026
822709,2026-07-10,683011,"Volpe, Anthony",WSH,2,1,1,1,0,0,0,1,0,0,0,0,0,1,2026
822709,2026-07-10,691176,"Domínguez, Jasson",WSH,4,4,2,1,0,0,1,0,0,1,0,0,1,5,2026
822709,2026-07-10,700250,"Rice, Ben",WSH,5,4,1,0,0,0,1,1,0,1,0,0,1,4,2026
822711,2026-07-11,502671,"Goldschmidt, Paul",WSH,4,4,1,0,0,0,1,0,0,1,0,0,1,4,2026
822711,2026-07-11,641355,"Bellinger, Cody",WSH,4,4,1,0,1,0,0,0,0,0,0,0,0,2,2026
822711,2026-07-11,641857,"McMahon, Ryan",WSH,4,3,1,0,0,0,1,1,0,0,0,0,1,4,2026
822711,2026-07-11,642708,"Rosario, Amed",WSH,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2026
822711,2026-07-11,645305,"Sánchez, Ali",WSH,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2026
822711,2026-07-11,663757,"Grisham, Trent",WSH,4,4,2,1,0,0,1,0,0,1,0,0,2,5,2026
822711,2026-07-11,665862,"Chisholm Jr., Jazz",WSH,4,4,0,0,0,0,0,0,0,3,0,0,0,0,2026
822711,2026-07-11,669224,"Wells, Austin",WSH,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2026
