game_pk,game_date,player_id,player_name,team,opposing_team,season,pa,ab,h,singles,doubles,triples,hr,bb,hbp,so,sb,cs,rbi,tb
776140,2025-09-28,519317,"Stanton, Giancarlo",NYY,BAL,2025,4,3,1,1,0,0,0,1,0,1,0,0,1,1
776140,2025-09-28,592450,"Judge, Aaron",NYY,BAL,2025,4,4,1,1,0,0,0,0,0,0,0,0,0,1
776140,2025-09-28,641355,"Bellinger, Cody",NYY,BAL,2025,4,4,1,1,0,0,0,0,0,0,0,0,0,1
776140,2025-09-28,641857,"McMahon, Ryan",NYY,BAL,2025,3,3,0,0,0,0,0,0,0,3,0,0,0,0
776140,2025-09-28,663757,"Grisham, Trent",NYY,BAL,2025,4,3,0,0,0,0,0,1,0,2,0,0,0,0
776140,2025-09-28,665862,"Chisholm Jr., Jazz",NYY,BAL,2025,1,1,0,0,0,0,0,0,0,1,0,0,0,0
776140,2025-09-28,669224,"Wells, Austin",NYY,BAL,2025,3,3,0,0,0,0,0,0,0,3,0,0,0,0
776140,2025-09-28,676609,"Caballero, José",NYY,BAL,2025,2,1,0,0,0,0,0,1,0,1,0,0,0,0
776140,2025-09-28,683011,"Volpe, Anthony",NYY,BAL,2025,3,3,1,1,0,0,0,0,0,1,0,0,0,1
776140,2025-09-28,700250,"Rice, Ben",NYY,BAL,2025,4,4,2,0,0,0,2,0,0,0,0,0,2,8
776143,2025-09-28,605137,"Bell, Josh",WSH,CWS,2025,2,2,0,0,0,0,0,0,0,0,0,0,0,0
776143,2025-09-28,656180,"Adams, Riley",WSH,CWS,2025,3,3,0,0,0,0,0,0,0,3,0,0,0,0
776143,2025-09-28,665953,"Chaparro, Andrés",WSH,CWS,2025,1,1,0,0,0,0,0,0,0,1,0,0,0,0
776143,2025-09-28,671277,"García Jr., Luis",WSH,CWS,2025,3,3,0,0,0,0,0,0,0,0,0,0,0,0
776143,2025-09-28,682928,"Abrams, CJ",WSH,CWS,2025,3,3,0,0,0,0,0,0,0,0,0,0,0,0
776143,2025-09-28,683083,"Nuñez, Nasim",WSH,CWS,2025,1,1,0,0,0,0,0,0,0,1,0,0,0,0
776143,2025-09-28,686611,"Crews, Dylan",WSH,CWS,2025,3,3,0,0,0,0,0,0,0,2,0,0,0,0
776143,2025-09-28,690987,"Hassell III, Robert",WSH,CWS,2025,1,1,0,0,0,0,0,0,0,1,0,0,0,0
776143,2025-09-28,691781,"House, Brady",WSH,CWS,2025,3,3,1,1,0,0,0,0,0,1,0,0,0,1
776143,2025-09-28,695578,"Wood, James",WSH,CWS,2025,3,3,0,0,0,0,0,0,0,3,0,0,0,0
776143,2025-09-28,695734,"Lile, Daylen",WSH,CWS,2025,3,3,0,0,0,0,0,0,0,0,0,0,0,0
